no_of_node      intial_size        compresd_size(in bytes)
5 		80 		8
5 		80 		8
5 		80 		8
10 		360 		32
10 		360 		32
10 		360 		32
50 		9800 		472
50 		9800 		472
70 		19320 		920
70 		19320 		920
100 		39600 		1888
110 		47960 		1552
150 		89400 		4264
200 		159200 		7584
300 		358800 		17088
500 		998000 		47528
500 		998000 		47528
300 		358800 		17088
